anime_id,title,status,aired_string,score,scored_by,rank,popularity,members,genre
23985,Futari Ecchi (2014),Finished Airing,"Oct 10, 2014",6.37,1923.0,6121.0,4853.0,5038.0,"Comedy, Ecchi, Romance, Seinen, Slice of Life"
8302,Ladies versus Butlers! Specials,Finished Airing,"Mar 26, 2010 to Aug 27, 2010",6.43,11631.0,5883.0,2512.0,22305.0,"Ecchi, Seinen"
24833,Ansatsu Kyoushitsu,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",8.22,313058.0,289.0,59.0,574476.0,"Action, Comedy, School, Shounen"
10719,Boku wa Tomodachi ga Sukunai,Finished Airing,"Oct 7, 2011 to Dec 23, 2011",7.47,255852.0,1716.0,101.0,441348.0,"Ecchi, Slice of Life, Comedy, Harem, Romance, School"
4939,Macross Fufonfia,Finished Airing,"May 27, 2008 to Oct 8, 2008",5.7,647.0,8001.0,6401.0,2476.0,"Comedy, Parody"
6713,Ranma ½: Nettou Uta Gassen,Finished Airing,"Nov 7, 1990 to Nov 21, 1990",7.32,1658.0,2358.0,5141.0,4386.0,"Comedy, Music"
11795,Forsaken,Finished Airing,"Jan 26, 2008",5.83,442.0,7726.0,8809.0,753.0,"Music, Vampire"
33566,Baki,Finished Airing,"Dec 6, 2016",6.19,895.0,6781.0,5836.0,3167.0,"Action, Martial Arts, Shounen"
5153,Kikou Kai Galient,Finished Airing,"Oct 5, 1984 to Mar 29, 1985",6.64,364.0,5017.0,7248.0,1663.0,"Action, Sci-Fi, Fantasy, Mecha"
4440,Sugata Sanshirou,Finished Airing,"Jun 8, 1981",6.68,34.0,12286.0,10810.0,247.0,"Action, Martial Arts, Sports"
23575,Ikkyuu-san: Ooabare Yancha-hime,Finished Airing,"Aug 25, 1980",6.35,17.0,10564.0,12667.0,115.0,"Comedy, Historical, Kids"
4462,Tairiki Tarou no Mucha Shuugyou,Finished Airing,1928,4.73,612.0,9250.0,8267.0,1006.0,Action
36067,Halfway,Finished Airing,"Feb 9, 2012",4.77,48.0,10311.0,13325.0,85.0,Music
33164,Musaigen no Phantom World: Limitless Phantom World,Finished Airing,"Apr 6, 2016 to Oct 5, 2016",6.33,3949.0,6273.0,3327.0,12802.0,"Comedy, Supernatural, Fantasy"
29918,Go-hiki no Kozaru-tachi,Finished Airing,1956,4.14,37.0,10241.0,12573.0,119.0,Demons
21437,Buddy Complex,Finished Airing,"Jan 6, 2014 to Mar 31, 2014",7.26,27316.0,2551.0,1433.0,55390.0,"Action, Sci-Fi, Mecha"
30191,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Finished Airing,"Jul 22, 2015",7.84,14000.0,811.0,1940.0,34770.0,"Action, Mystery, Supernatural"
1028,Arete Hime,Finished Airing,"Jul 21, 2001",7.03,2938.0,3444.0,4079.0,7804.0,"Fantasy, Magic"
34990,Unicorn no Kyupi,Currently Airing,"Mar 20, 2017 to ?",4.5,2.0,12585.0,13916.0,53.0,"Fantasy, Kids"
14817,Mouretsu Pirates: Abyss of Hyperspace,Finished Airing,"Feb 22, 2014",7.22,3304.0,2738.0,3758.0,9510.0,"Sci-Fi, Space"
7448,Pacusi,Finished Airing,"Apr 4, 1994 to Jan 5, 1995",5.28,98.0,8728.0,10553.0,284.0,Comedy
19497,Kagerouka-kun,Finished Airing,"May 23, 2003",5.05,21.0,10688.0,12617.0,117.0,"Fantasy, Kids"
32600,Kanojo wa Zombie,Finished Airing,"Jan 27, 2016",5.98,371.0,7394.0,8900.0,712.0,"Music, Romance"
9260,Kizumonogatari I: Tekketsu-hen,Finished Airing,"Jan 8, 2016",8.43,81479.0,150.0,392.0,192398.0,"Mystery, Supernatural, Vampire"
7152,Anyamal Tantei Kiruminzoo,Finished Airing,"Oct 5, 2009 to Sep 20, 2010",7.09,832.0,3222.0,4994.0,4708.0,"Magic, Comedy, Shoujo"
35090,Oyayubi-hime,Finished Airing,1982,6.75,4.0,11694.0,14283.0,29.0,"Fantasy, Kids"
31676,Persona 2: Another Self,Finished Airing,"Jun 29, 2000",6.22,570.0,6705.0,6351.0,2547.0,"Action, Fantasy, Supernatural, Demons"
770,Pale Cocoon,Finished Airing,"Dec 10, 2005",7.46,27174.0,1783.0,1529.0,50270.0,"Drama, Sci-Fi"
16810,Narara Wondeogongju,Finished Airing,"Jul 31, 1978",3.22,18.0,11413.0,12301.0,132.0,"Action, Adventure, Sci-Fi, Space, Super Power"
9759,Future GPX Cyber Formula Graffiti,Finished Airing,"Aug 5, 1992",6.19,59.0,6785.0,10459.0,301.0,"Action, Sci-Fi, Sports"
27915,Captain,Finished Airing,"Apr 2, 1980",6.19,16.0,9794.0,11808.0,158.0,"Sports, Shounen"
34458,Ousama to Nightingale,Finished Airing,1972,5.73,11.0,11687.0,13881.0,56.0,"Fantasy, Kids"
1222,Bokura ga Ita,Finished Airing,"Jul 4, 2006 to Dec 26, 2006",7.46,68318.0,1755.0,528.0,152546.0,"Slice of Life, Drama, Romance, Shoujo"
2255,Choujuu Kishin Dancougar,Finished Airing,"Apr 5, 1985 to Dec 27, 1985",6.74,576.0,4568.0,6417.0,2461.0,"Action, Sci-Fi, Mecha"
27495,Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisobapanman,Finished Airing,"Jul 14, 2001",6.44,18.0,12204.0,12020.0,146.0,"Kids, Adventure, Fantasy"
35031,Aoi Meno Ningyou Monogatari,Finished Airing,1996,3.67,6.0,9627.0,13884.0,55.0,"Drama, Historical"
8934,Star Driver: Kagayaki no Takuto,Finished Airing,"Oct 3, 2010 to Apr 3, 2011",7.32,31812.0,2360.0,1052.0,78438.0,"Action, Romance, Mecha, Shounen"
21963,Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing,Finished Airing,"Jul 17, 2004",5.47,19.0,12234.0,12508.0,123.0,"Comedy, Fantasy, Kids"
5189,Chou Tokkyuu Hikarian,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",6.56,132.0,5362.0,9854.0,415.0,"Action, Kids, Adventure"
36782,Kakuchou Shoujo-kei Trinary: Ex.MV,Finished Airing,"Jun 15, 2017 to Nov 30, 2017",6.65,79.0,4971.0,9135.0,624.0,"Sci-Fi, Music"
14989,Chousoku Henkei Gyrozetter,Finished Airing,"Oct 2, 2012 to Sep 24, 2013",6.56,634.0,5363.0,5467.0,3739.0,"Action, Cars, Mecha, Shounen"
3909,Bikkuriman,Finished Airing,"Oct 11, 1987 to Apr 2, 1989",6.47,65.0,5706.0,10162.0,351.0,"Comedy, Fantasy"
